scholarID,title,author,journal,number,cites,year,cid,pubid
H4x65KoAAAAJ,Likelihood-informed dimension reduction for nonlinear inverse problems,"T Cui, J Martin, YM Marzouk, A Solonen, A Spantini",Inverse Problems,"30 (11), 114015",76,2014,15782106703982610813,WF5omc3nYNoC
H4x65KoAAAAJ,Bayesian calibration of a large‐scale geothermal reservoir model by a new adaptive delayed acceptance Metropolis Hastings algorithm,"T Cui, C Fox, MJ O'sullivan",Water Resources Research,47 (10),76,2011,14736775736675917558,d1gkVwhDpl0C
H4x65KoAAAAJ,Data‐driven model reduction for the Bayesian solution of inverse problems,"T Cui, YM Marzouk, KE Willcox",International Journal for Numerical Methods in Engineering,"102 (5), 966-990",58,2015,"8593986444552508837,12409066536530170987",_OXeSy2IsFwC
H4x65KoAAAAJ,Dimension-independent likelihood-informed MCMC,"T Cui, KJH Law, YM Marzouk",Journal of Computational Physics,"304 (1), 109-137",55,2016,"8941470427203034051,1043936957232643915",9c2xU6iGI7YC
H4x65KoAAAAJ,Optimal low-rank approximations of Bayesian linear inverse problems,"A Spantini, A Solonen, T Cui, J Martin, L Tenorio, Y Marzouk",SIAM Journal on Scientific Computing,"37 (6), A2451–A2487",52,2015,14386056971639165078,_FxGoFyzp5QC
H4x65KoAAAAJ,Multifidelity importance sampling,"B Peherstorfer, T Cui, Y Marzouk, K Willcox",Computer Methods in Applied Mechanics and Engineering,"300, 490-509",30,2016,2437956253788187100,fbc8zXXH2BUC
H4x65KoAAAAJ,Scalable posterior approximations for large-scale Bayesian inverse problems via likelihood-informed parameter and state reduction,"T Cui, YM Marzouk, KE Willcox",Journal of Computational Physics,"315, 363－387",14,2016,10413277737945064897,ZzlSgRqYykMC
H4x65KoAAAAJ,Goal-oriented optimal approximations of Bayesian linear inverse problems,"A Spantini, T Cui, K Willcox, L Tenorio, Y Marzouk",SIAM Journal on Scientific Computing,"39 (5), S167-S196",11,2017,2930865524664539631,6yz0xqPARnAC
H4x65KoAAAAJ,On dimension reduction in Gaussian filters,"A Solonen, T Cui, J Hakkarainen, Y Marzouk",Inverse Problems,"32 (4), 045003",11,2016,13842466333842610710,Ehil0879vHcC
H4x65KoAAAAJ,Bayesian calibration of geothermal reservoir models via Markov Chain Monte Carlo,T Cui,PhD Thesis-University of Auckland,,11,2010,11467210937812489910,u-x6o8ySG0sC
H4x65KoAAAAJ,Adaptive Approximation Error Models for Efficient Uncertainty Quantification with Application to Multiphase Subsurface Fluid Flow,"T Cui, C Fox, MJ O'Sullivan",arXiv preprint arXiv:,:1809.03176,9,2018,"878210709517570219,17144617209680575471,717876347077046917",cK4Rrx0J3m0C
H4x65KoAAAAJ,Uncertainty quantification for stream depletion tests,"T Cui, ND Ward",Journal of Hydrologic Engineering,"18 (12), 1581-1590",8,2012,10129941253556578752,UeHWp8X0CEIC
H4x65KoAAAAJ,Characterization of Parameters for a Spatially Heterogenous Aquifer from Pumping Test Data,"T Cui, N Dudley Ward, J Kaipio",Journal of Hydrologic Engineering,"19 (6), 1203-1213",6,2013,5229066611642433715,W7OEmFMy1HYC
